filename	condition_code	description	item_code	target_onset
mando_sent_riddle_e.wav	4	mando_noswitch_riddle	4087	800
mando_sent_rocks_e.wav	4	mando_noswitch_rocks	4088	760
mando_sent_room_e.wav	4	mando_noswitch_room	4089	659
mando_sent_ruler_e.wav	4	mando_noswitch_ruler	4090	800
mando_sent_scarf_e.wav	4	mando_noswitch_scarf	4091	575
mando_sent_shoes_e.wav	4	mando_noswitch_shoes	4092	565
mando_sent_soccer_e.wav	4	mando_noswitch_soccer	4093	403
mando_sent_spider_e.wav	4	mando_noswitch_spider	4094	779
mando_sent_spoon_e.wav	4	mando_noswitch_spoon	4095	620
mando_sent_squirrel_e.wav	4	mando_noswitch_squirrel	4096	794
mando_sent_stairs_e.wav	4	mando_noswitch_stairs	4097	635
mando_sent_story_e.wav	4	mando_noswitch_story	4098	507
mando_sent_student_e.wav	4	mando_noswitch_student	4099	459
mando_sent_subway_e.wav	4	mando_noswitch_subway	4100	435
mando_sent_sun_e.wav	4	mando_noswitch_sun	4101	528
mando_sent_table_e.wav	4	mando_noswitch_table	4102	523
mando_sent_teacher_e.wav	4	mando_noswitch_teacher	4103	582
mando_sent_thing_e.wav	4	mando_noswitch_thing	4104	655
mando_sent_time_e.wav	4	mando_noswitch_time	4105	683
mando_sent_tomato_e.wav	4	mando_noswitch_tomato	4106	695
mando_sent_toothpaste_e.wav	4	mando_noswitch_toothpaste	4107	790
mando_sent_towel_e.wav	4	mando_noswitch_towel	4108	860
mando_sent_toy_e.wav	4	mando_noswitch_toy	4109	520
mando_sent_train_e.wav	4	mando_noswitch_train	4110	606
mando_sent_TV_e.wav	4	mando_noswitch_TV	4111	747
mando_sent_umbrella_e.wav	4	mando_noswitch_umbrella	4112	887
mando_sent_vegetables_e.wav	4	mando_noswitch_vegetables	4113	675
mando_sent_watch_e.wav	4	mando_noswitch_watch	4114	579
mando_sent_weekend_e.wav	4	mando_noswitch_weekend	4115	664
mando_sent_whiteboard_e.wav	4	mando_noswitch_whiteboard	4116	709
mando_sent_window_e.wav	4	mando_noswitch_window	4117	732
mando_sent_woman_e.wav	4	mando_noswitch_woman	4118	588
mando_sent_work_e.wav	4	mando_noswitch_work	4119	660
mando_sent_world_e.wav	4	mando_noswitch_world	4120	530
