filename	condition_code	description	item_code
local_sent_address.wav	5	local_switched_address	5001
local_sent_afternoon.wav	5	local_switched_afternoon	5002
local_sent_airport.wav	5	local_switched_airport	5003
local_sent_animal.wav	5	local_switched_animal	5004
local_sent_ant.wav	5	local_switched_ant	5005
local_sent_apple.wav	5	local_switched_apple	5006
local_sent_backpack.wav	5	local_switched_backpack	5007
local_sent_balcony.wav	5	local_switched_balcony	5008
local_sent_banana.wav	5	local_switched_banana	5009
local_sent_beverage.wav	5	local_switched_beverage	5010
local_sent_bookshelf.wav	5	local_switched_bookshelf	5011
local_sent_bookstore.wav	5	local_switched_bookstore	5012
local_sent_bottle.wav	5	local_switched_bottle	5013
local_sent_breakfast.wav	5	local_switched_breakfast	5014
local_sent_butter.wav	5	local_switched_butter	5015
local_sent_butterfly.wav	5	local_switched_butterfly	5016
local_sent_cake.wav	5	local_switched_cake	5017
local_sent_calendar.wav	5	local_switched_calendar	5018
local_sent_camera.wav	5	local_switched_camera	5019
local_sent_child.wav	5	local_switched_child	5020
local_sent_chilli.wav	5	local_switched_chilli	5021
local_sent_clothes.wav	5	local_switched_clothes	5022
local_sent_coat.wav	5	local_switched_coat	5023
local_sent_company.wav	5	local_switched_company	5024
local_sent_computer.wav	5	local_switched_computer	5025
local_sent_cookie.wav	5	local_switched_cookie	5026
local_sent_corn.wav	5	local_switched_corn	5027
local_sent_country.wav	5	local_switched_country	5028
local_sent_cucumber.wav	5	local_switched_cucumber	5029
local_sent_direction.wav	5	local_switched_direction	5030
local_sent_earphones.wav	5	local_switched_earphones	5031
local_sent_egg.wav	5	local_switched_egg	5032
local_sent_eggtart.wav	5	local_switched_eggtart	5033
local_sent_elephant.wav	5	local_switched_elephant	5034
local_sent_essay.wav	5	local_switched_essay	5035
local_sent_event.wav	5	local_switched_event	5036
local_sent_eye.wav	5	local_switched_eye	5037
local_sent_family.wav	5	local_switched_family	5038
local_sent_finger.wav	5	local_switched_finger	5039
local_sent_friedrice.wav	5	local_switched_friedrice	5040
local_sent_friend.wav	5	local_switched_friend	5041
local_sent_frog.wav	5	local_switched_frog	5042
local_sent_game.wav	5	local_switched_game	5043
local_sent_garbage.wav	5	local_switched_garbage	5044
local_sent_garden.wav	5	local_switched_garden	5045
local_sent_garlic.wav	5	local_switched_garlic	5046
local_sent_gift.wav	5	local_switched_gift	5047
local_sent_grapes.wav	5	local_switched_grapes	5048
local_sent_greentea.wav	5	local_switched_greentea	5049
local_sent_hanger.wav	5	local_switched_hanger	5050
local_sent_homework.wav	5	local_switched_homework	5051
local_sent_honey.wav	5	local_switched_honey	5052
local_sent_hotel.wav	5	local_switched_hotel	5053
local_sent_hotpot.wav	5	local_switched_hotpot	5054
local_sent_house.wav	5	local_switched_house	5055
local_sent_keys.wav	5	local_switched_keys	5056
local_sent_language.wav	5	local_switched_language	5057
local_sent_law.wav	5	local_switched_law	5058
local_sent_letter.wav	5	local_switched_letter	5059
local_sent_luggage.wav	5	local_switched_luggage	5060
local_sent_lunchbox.wav	5	local_switched_lunchbox	5061
local_sent_man.wav	5	local_switched_man	5062
local_sent_milk.wav	5	local_switched_milk	5063
local_sent_moon.wav	5	local_switched_moon	5064
local_sent_movie.wav	5	local_switched_movie	5065
local_sent_mushroom.wav	5	local_switched_mushroom	5066
local_sent_music.wav	5	local_switched_music	5067
local_sent_newspaper.wav	5	local_switched_newspaper	5068
local_sent_noodles.wav	5	local_switched_noodles	5069
local_sent_number.wav	5	local_switched_number	5070
local_sent_peacock.wav	5	local_switched_peacock	5071
local_sent_peak.wav	5	local_switched_peak	5072
local_sent_pencil.wav	5	local_switched_pencil	5073
local_sent_pepper.wav	5	local_switched_pepper	5074
local_sent_phone.wav	5	local_switched_phone	5075
local_sent_photo.wav	5	local_switched_photo	5076
local_sent_piano.wav	5	local_switched_piano	5077
local_sent_picnic.wav	5	local_switched_picnic	5078
local_sent_plant.wav	5	local_switched_plant	5079
local_sent_plate.wav	5	local_switched_plate	5080
local_sent_potato.wav	5	local_switched_potato	5081
local_sent_quality.wav	5	local_switched_quality	5082
local_sent_question.wav	5	local_switched_question	5083
local_sent_radish.wav	5	local_switched_radish	5084
local_sent_raincoat.wav	5	local_switched_raincoat	5085
local_sent_residence.wav	5	local_switched_residence	5086
local_sent_riddle.wav	5	local_switched_riddle	5087
local_sent_rock.wav	5	local_switched_rock	5088
local_sent_room.wav	5	local_switched_room	5089
local_sent_ruler.wav	5	local_switched_ruler	5090
local_sent_scarf.wav	5	local_switched_scarf	5091
local_sent_shoes.wav	5	local_switched_shoes	5092
local_sent_soccer.wav	5	local_switched_soccer	5093
local_sent_spider.wav	5	local_switched_spider	5094
local_sent_spoon.wav	5	local_switched_spoon	5095
local_sent_squirrel.wav	5	local_switched_squirrel	5096
local_sent_stairs.wav	5	local_switched_stairs	5097
local_sent_story.wav	5	local_switched_story	5098
local_sent_student.wav	5	local_switched_student	5099
local_sent_subway.wav	5	local_switched_subway	5100
local_sent_sun.wav	5	local_switched_sun	5101
local_sent_table.wav	5	local_switched_table	5102
local_sent_teacher.wav	5	local_switched_teacher	5103
local_sent_thing.wav	5	local_switched_thing	5104
local_sent_time.wav	5	local_switched_time	5105
local_sent_tomato.wav	5	local_switched_tomato	5106
local_sent_toothpaste.wav	5	local_switched_toothpaste	5107
local_sent_towel.wav	5	local_switched_towel	5108
local_sent_toy.wav	5	local_switched_toy	5109
local_sent_train.wav	5	local_switched_train	5110
local_sent_TV.wav	5	local_switched_TV	5111
local_sent_umbrella.wav	5	local_switched_umbrella	5112
local_sent_vegetables.wav	5	local_switched_vegetables	5113
local_sent_watch.wav	5	local_switched_watch	5114
local_sent_weekend.wav	5	local_switched_weekend	5115
local_sent_whiteboard.wav	5	local_switched_whiteboard	5116
local_sent_window.wav	5	local_switched_window	5117
local_sent_woman.wav	5	local_switched_woman	5118
local_sent_work.wav	5	local_switched_work	5119
local_sent_world.wav	5	local_switched_world	5120
local_sent_address_e.wav	6	local_noswitch_address	6001
local_sent_afternoon_e.wav	6	local_noswitch_afternoon	6002
local_sent_airport_e.wav	6	local_noswitch_airport	6003
local_sent_animal_e.wav	6	local_noswitch_animal	6004
local_sent_ants_e.wav	6	local_noswitch_ants	6005
local_sent_apple_e.wav	6	local_noswitch_apple	6006
local_sent_backpack_e.wav	6	local_noswitch_backpack	6007
local_sent_balcony_e.wav	6	local_noswitch_balcony	6008
local_sent_banana_e.wav	6	local_noswitch_banana	6009
local_sent_beverage_e.wav	6	local_noswitch_beverage	6010
local_sent_bookshelf_e.wav	6	local_noswitch_bookshelf	6011
local_sent_bookstore_e.wav	6	local_noswitch_bookstore	6012
local_sent_bottle_e.wav	6	local_noswitch_bottle	6013
local_sent_breakfast_e.wav	6	local_noswitch_breakfast	6014
local_sent_butter_e.wav	6	local_noswitch_butter	6015
local_sent_butterfly_e.wav	6	local_noswitch_butterfly	6016
local_sent_cake_e.wav	6	local_noswitch_cake	6017
local_sent_calendar_e.wav	6	local_noswitch_calendar	6018
local_sent_camera_e.wav	6	local_noswitch_camera	6019
